Time;Channel;Count
2021-04-15 09:41:48.971186;Nederlands;1
2021-04-15 09:41:48.981573;Switch_on;1
2021-04-15 09:41:48.984367;Nederlands;1
2021-04-15 09:41:48.994727;Switch_on;1
2021-04-15 09:41:48.997519;Nederlands;1
2021-04-15 09:41:49.007880;Switch_on;1
2021-04-15 09:41:49.010719;Nederlands;1
2021-04-15 09:41:49.021111;Switch_on;1
2021-04-15 09:41:49.023921;Nederlands;1
2021-04-15 09:41:49.034282;Switch_on;1
2021-04-15 09:41:49.037078;Nederlands;1
2021-04-15 09:41:49.047443;Switch_on;1
2021-04-15 09:41:49.050307;Nederlands;1
2021-04-15 09:41:49.060702;Switch_on;1
2021-04-15 09:41:49.063504;Nederlands;1
2021-04-15 09:41:49.073866;Switch_on;1
2021-04-15 09:41:49.076662;Nederlands;1
2021-04-15 09:41:49.087021;Switch_on;1
2021-04-15 09:41:49.089801;Nederlands;1
2021-04-15 09:41:49.100159;Switch_on;1
2021-04-15 09:41:49.102994;Nederlands;1
2021-04-15 09:41:49.113362;Switch_on;1
2021-04-15 09:41:49.116179;Nederlands;1
2021-04-15 09:41:49.126547;Switch_on;1
2021-04-15 09:41:49.129337;Nederlands;1
2021-04-15 09:41:49.139695;Switch_on;1
2021-04-15 09:41:49.142537;Nederlands;1
2021-04-15 09:41:49.152911;Switch_on;1
2021-04-15 09:41:49.155707;Nederlands;1
2021-04-15 09:41:49.166069;Switch_on;1
2021-04-15 09:41:49.168847;Nederlands;1
2021-04-15 09:41:49.179201;Switch_on;1
2021-04-15 09:41:49.182048;Nederlands;1
2021-04-15 09:41:49.192423;Switch_on;1
2021-04-15 09:41:49.195218;Nederlands;1
2021-04-15 09:41:49.205579;Switch_on;1
2021-04-15 09:41:49.208365;Nederlands;1
2021-04-15 09:41:49.218823;Switch_on;1
2021-04-15 09:41:49.221986;Nederlands;1
2021-04-15 09:41:49.232442;Switch_on;1
2021-04-15 09:41:49.235304;Nederlands;1
2021-04-15 09:41:49.245695;Switch_on;1
2021-04-15 09:41:49.248709;Nederlands;1
2021-04-15 09:41:49.259361;Switch_on;1
2021-04-15 09:41:49.262624;Nederlands;1
2021-04-15 09:41:49.273231;Switch_on;1
